Site,Del Mar_2010,H Vine Apartments_2013,H Vine Condos_2013,H Western_2012,Taylor_2017,Westlake_2015,Wilshire VT Apartments_2010,Wilshire VT School_2011,Wilshire Western_2012,Tract 4636_2010,Tract 1910_2013,Tract 1905_2012,Tract 1871_2017,Tract 2089_2015,Tract 2111_2010,Tract 2111_2011,Tract 2118_2012,LA County_2010,LA County_2011,LA County_2012,LA County_2013,LA County_2015,LA County_2017
White,0.716,0.84,0.829,0.852,0.5,0.183,0.5,0.217,0.556,0.674,0.75,0.728,0.736,0.74,0.37,0.459,0.46,0.708,0.711,0.714,0.716,0.721,0.706
Black/African-American,0.098,0.068,0.078,0.052,0,0,0.111,0.099,0,0.069,0.129,0.088,0.035,0.073,0.086,0.118,0.097,0.096,0.096,0.096,0.096,0.097,0.093
Asian,0.137,0.082,0.071,0.079,0.5,0.817,0.389,0.645,0.37,0.228,0.076,0.152,0.186,0.131,0.508,0.396,0.403,0.158,0.157,0.155,0.152,0.146,0.159
Hispanic/Latino,0.382,0.105,0.156,0.391,0.429,0.117,0.444,0.092,0.593,0.159,0.297,0.335,0.479,0.546,0.263,0.24,0.301,0.381,0.379,0.38,0.38,0.378,0.415
