Site,Del Mar_2010,H Vine Apartments_2013,H Vine Condos_2013,H Western_2012,Taylor_2017,Westlake_2015,Wilshire VT Apartments_2010,Wilshire VT School_2011,Wilshire Western_2012,Tract 4636_2010,Tract 1910_2013,Tract 1905_2012,Tract 1871_2017,Tract 2089_2015,Tract 2111_2010,Tract 2111_2011,Tract 2118_2012,LA County_2010,LA County_2011,LA County_2012,LA County_2013,LA County_2015,LA County_2017
1250 or less,0.196,0.388,0.394,0.44,0.143,0.233,0.167,0.342,0.296,0.192,0.369,0.402,0.239,0.294,0.282,0.288,0.29,0.266,0.271,0.27,0.271,0.261,0.237
1251 to 3333,0.294,0.265,0.245,0.418,0.357,0.4,0.5,0.388,0.444,0.228,0.333,0.392,0.336,0.464,0.419,0.404,0.442,0.359,0.353,0.353,0.349,0.343,0.341
3333 or more,0.51,0.347,0.361,0.142,0.5,0.367,0.333,0.27,0.259,0.58,0.299,0.205,0.425,0.241,0.299,0.308,0.268,0.375,0.376,0.378,0.38,0.396,0.422
