Site,Del Mar_2010,H Vine Apartments_2013,H Vine Condos_2013,H Western_2012,Taylor_2017,Westlake_2015,Wilshire VT Apartments_2010,Wilshire VT School_2011,Wilshire Western_2012,Tract 4636_2010,Tract 1910_2013,Tract 1905_2012,Tract 1871_2017,Tract 2089_2015,Tract 2111_2010,Tract 2111_2011,Tract 2118_2012,LA County_2010,LA County_2011,LA County_2012,LA County_2013,LA County_2015,LA County_2017
Less than high school,0.118,0.087,0.089,0.213,0.429,0.083,0.167,0.125,0.259,0.082,0.15,0.171,0.2,0.201,0.147,0.14,0.145,0.156,0.156,0.159,0.16,0.161,0.162
"High school or equivalent, no college",0.098,0.16,0.167,0.155,0.143,0.15,0.167,0.151,0.111,0.101,0.147,0.146,0.147,0.173,0.149,0.155,0.158,0.147,0.149,0.154,0.157,0.162,0.158
Some college or Associate degree,0.196,0.228,0.234,0.187,0.143,0.35,0.222,0.23,0.148,0.217,0.211,0.201,0.203,0.18,0.197,0.213,0.211,0.222,0.224,0.229,0.229,0.23,0.225
Bachelor's degree or advanced degree,0.363,0.283,0.268,0.153,0.143,0.25,0.167,0.27,0.185,0.381,0.242,0.186,0.241,0.143,0.282,0.228,0.271,0.243,0.242,0.242,0.24,0.232,0.23
